timestamp,machine_id,machine_type,vibration_rms,temperature_motor,current_phase_avg,pressure_level,rpm,operating_mode,hours_since_maintenance,ambient_temp,rul_hours,failure_within_24h,failure_type,estimated_repair_cost,vibration_rms_roll_mean_5,vibration_rms_roll_std_5,vibration_rms_roll_mean_10,vibration_rms_roll_max_10,vibration_rms_roll_min_10,vibration_rms_lag_1,vibration_rms_lag_3,vibration_rms_lag_5,vibration_rms_delta,vibration_rms_trend_5,vibration_rms_deviation,temperature_motor_roll_mean_5,temperature_motor_roll_std_5,temperature_motor_roll_mean_10,temperature_motor_roll_max_10,temperature_motor_roll_min_10,temperature_motor_lag_1,temperature_motor_lag_3,temperature_motor_lag_5,temperature_motor_delta,temperature_motor_trend_5,temperature_motor_deviation,current_phase_avg_roll_mean_5,current_phase_avg_roll_std_5,current_phase_avg_roll_mean_10,current_phase_avg_roll_max_10,current_phase_avg_roll_min_10,current_phase_avg_lag_1,current_phase_avg_lag_3,current_phase_avg_lag_5,current_phase_avg_delta,current_phase_avg_trend_5,current_phase_avg_deviation,pressure_level_roll_mean_5,pressure_level_roll_std_5,pressure_level_roll_mean_10,pressure_level_roll_max_10,pressure_level_roll_min_10,pressure_level_lag_1,pressure_level_lag_3,pressure_level_lag_5,pressure_level_delta,pressure_level_trend_5,pressure_level_deviation,rpm_roll_mean_5,rpm_roll_std_5,rpm_roll_mean_10,rpm_roll_max_10,rpm_roll_min_10,rpm_lag_1,rpm_lag_3,rpm_lag_5,rpm_delta,rpm_trend_5,rpm_deviation,temp_differential,vib_to_rpm,power_est,pressure_stability,maintenance_stress
2024-01-01,M01,CNC,0.81,49.51,5.1,23.6,860.9,idle,273.8,13.9,61.0,0,none,0.0,0.81,0.0,0.81,0.81,0.81,0.81,0.81,0.81,0.0,0.0,0.0,49.51,0.0,49.51,49.51,49.51,49.51,49.51,49.51,0.0,0.0,0.0,5.1,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.0,0.0,0.0,23.6,0.0,23.6,23.6,23.6,23.6,23.6,23.6,0.0,0.0,0.0,860.9,0.0,860.9,860.9,860.9,860.9,860.9,860.9,0.0,0.0,0.0,35.61,0.0009408758166932767,4.3905899999999995,0.999999576271366,249.15800000000002
2024-01-02,M01,CNC,0.75,40.58,5.3,23.6,899.6,idle,273.85,10.2,60.95,0,none,0.0,0.78,0.04242640687119289,0.78,0.81,0.75,0.81,0.75,0.75,-0.06000000000000005,0.0,-0.7054440336534011,45.045,6.3144635559958715,45.045,49.51,40.58,49.51,40.58,40.58,-8.93,0.0,-0.7070955831556006,5.199999999999999,0.14142135623730995,5.199999999999999,5.3,5.1,5.1,5.3,5.3,0.20000000000000018,0.0,0.7066071344901164,23.6,0.0,23.6,23.6,23.6,23.6,23.6,23.6,0.0,0.0,0.0,880.25,27.36503243191942,880.25,899.6,860.9,860.9,899.6,899.6,38.700000000000045,0.0,0.707104197216662,30.38,0.0008337038591184542,4.76788,0.999999576271366,232.7725
2024-01-03,M01,CNC,0.71,49.7,5.3,21.3,862.7,idle,274.15,13.6,60.65,0,none,0.0,0.7566666666666667,0.05033222956847172,0.7566666666666667,0.81,0.71,0.75,0.71,0.71,-0.040000000000000036,0.0,-0.9253341973173627,46.596666666666664,5.211452132883247,46.596666666666664,49.7,40.58,40.58,49.7,49.7,9.120000000000005,0.0,0.595471992643475,5.233333333333333,0.11547005383792565,5.233333333333333,5.3,5.1,5.3,5.3,5.3,0.0,0.0,0.5768507018276476,22.833333333333332,1.3279056191361402,22.833333333333332,23.6,21.3,23.6,21.3,21.3,-2.3000000000000007,0.0,-1.1546135884054132,874.4,21.842389979120874,874.4,899.6,860.9,899.6,862.7,862.7,-36.89999999999998,0.0,-0.5356532158734605,36.1,0.0008229975562420591,4.572310000000001,0.9328463067826395,222.06149999999997
2024-01-04,M01,CNC,0.76,43.04,4.79,22.6,870.4,idle,274.55,13.4,60.25,0,none,0.0,0.7575000000000001,0.04112987559751027,0.7575000000000001,0.81,0.71,0.71,0.81,0.76,0.050000000000000044,0.0,0.06063564257154618,45.707499999999996,4.611791951074985,45.707499999999996,49.7,40.58,49.7,49.51,43.04,-6.660000000000004,0.0,-0.5783960310211148,5.1225,0.24088378940891791,5.1225,5.3,4.79,5.3,5.1,4.79,-0.5099999999999998,0.0,-1.379760857838411,22.775000000000002,1.0904891868637068,22.775000000000002,23.6,21.3,21.3,23.6,22.6,1.3000000000000007,0.0,-0.16046372191096264,873.4,17.946030201690846,873.4,899.6,860.9,862.7,860.9,870.4,7.699999999999932,0.0,-0.16716695835168668,29.64,0.0008731617546741527,4.1692160000000005,0.9923157004102303,236.113
2024-01-05,M01,CNC,0.88,41.39,4.44,22.2,881.9,idle,274.7,10.8,60.1,0,none,0.0,0.782,0.06534523701081818,0.782,0.88,0.71,0.76,0.75,0.88,0.12,0.0,1.4974351759746924,44.844,4.436172900147155,44.844,49.7,40.58,43.04,40.58,41.39,-1.6499999999999986,0.0,-0.7785814979699353,4.986,0.3697025831665228,4.986,5.3,4.44,4.79,5.3,4.44,-0.34999999999999964,0.0,-1.4764634560546985,22.660000000000004,0.9787747442593734,22.660000000000004,23.6,21.3,22.6,23.6,22.2,-0.40000000000000213,0.0,-0.4699273351342261,875.1,15.999843749237051,875.1,899.6,860.9,870.4,899.6,881.9,11.5,0.0,0.42500149416614097,30.59,0.0009978455494064457,3.9156360000000006,0.9796994793912269,269.20599999999996
2024-01-06,M01,CNC,0.94,42.0,4.77,23.6,853.2,idle,275.18,16.1,59.62,0,none,0.0,0.808,0.09731392500562289,0.8083333333333332,0.94,0.71,0.88,0.71,0.81,0.05999999999999994,0.025999999999999978,1.35504241300595,43.342,3.6658996167380287,44.370000000000005,49.7,40.58,41.39,49.7,49.51,0.6099999999999994,-1.5019999999999996,-0.3660665958263513,4.92,0.3736977388210956,4.95,5.3,4.44,4.44,5.3,5.1,0.3299999999999992,-0.06600000000000002,-0.40128653659885377,22.660000000000004,0.9787747442593734,22.816666666666666,23.6,21.3,22.2,21.3,23.6,1.4000000000000021,0.0,0.9602862935351462,873.5600000000001,17.958925357604212,871.4499999999999,899.6,853.2,881.9,862.7,860.9,-28.699999999999932,-1.5399999999999863,-1.1336918120325044,25.9,0.001101734633125473,4.069763999999999,1.041482329442926,286.1872
2024-01-07,M01,CNC,0.88,41.71,4.1,25.7,917.6,idle,275.58,10.8,59.22,0,none,0.0,0.834,0.09528903399657272,0.8185714285714286,0.94,0.71,0.94,0.76,0.75,-0.05999999999999994,0.026000000000000002,0.4822357253523796,43.568,3.4833417862736384,43.99,49.7,40.58,42.0,43.04,40.58,-0.28999999999999915,0.2260000000000005,-0.5333805224824972,4.68,0.4468221122549777,4.828571428571428,5.3,4.1,4.77,4.79,5.3,-0.6699999999999999,-0.24000000000000005,-1.2977652796671177,23.080000000000002,1.6813684902483448,23.228571428571428,25.7,21.3,23.6,22.6,23.6,2.099999999999998,0.4199999999999996,1.5581618181932366,877.1600000000001,24.933571745740704,878.0428571428572,917.6,853.2,853.2,870.4,899.6,64.39999999999998,3.6,1.6219031201013587,30.91,0.0009590235292172676,3.7621599999999997,1.1135177151136415,270.0684
2024-01-08,M01,CNC,2.93,54.57,10.13,78.0,2932.1,normal,275.72,11.4,59.08,0,none,0.0,1.278,0.9258077554222583,1.0825,2.93,0.71,0.88,0.88,0.71,2.0500000000000003,0.44400000000000006,1.7841950132997957,44.542,5.6398998218053515,45.3125,54.57,40.58,41.71,41.39,49.7,12.86,0.9739999999999995,1.7780142405731598,5.646,2.5224452422203343,5.49125,10.13,4.1,4.1,4.44,5.3,6.030000000000001,0.9660000000000002,1.7775697041822733,34.42,24.399631144752984,30.075000000000003,78.0,21.3,25.7,22.2,21.3,52.3,11.34,1.7860852540324657,1291.0400000000002,917.6836017931234,1134.8,2932.1,853.2,917.6,881.9,862.7,2014.5,413.87999999999994,1.788263207457453,43.17,0.0009992837863671642,29.702173000000002,2.266123687936174,835.4316000000001
2024-01-09,M01,CNC,0.74,44.95,4.05,25.5,868.1,idle,275.78,11.6,59.02,0,none,0.0,1.274,0.928644172974773,1.0444444444444445,2.93,0.71,2.93,0.94,0.76,-2.1900000000000004,-0.0040000000000000036,-0.5749699600155713,44.924,5.577067329699368,45.27222222222222,54.57,40.58,54.57,42.0,43.04,-9.619999999999997,0.38200000000000073,0.004661864789594696,5.498,2.605565197802581,5.3311111111111105,10.13,4.05,10.13,4.77,4.79,-6.080000000000001,-0.14800000000000005,-0.5557122232054728,35.0,24.0808014816783,29.56666666666667,78.0,21.3,78.0,23.6,22.6,-52.5,0.5799999999999997,-0.3945035034185898,1290.58,917.9477038481004,1105.1666666666667,2932.1,853.2,2932.1,853.2,870.4,-2064.0,-0.4599999999999909,-0.4602440337336553,33.35,0.0008524363454390468,3.515805,0.7285712204082226,231.65519999999998
2024-01-10,M01,CNC,0.9,43.12,4.78,23.3,862.9,idle,276.0,16.1,58.8,0,none,0.0,1.278,0.926563543422684,1.03,2.93,0.71,0.74,0.88,0.88,0.16000000000000003,0.0040000000000000036,-0.4079150439045392,45.269999999999996,5.352135087981249,45.057,54.57,40.58,44.95,41.71,41.39,-1.8300000000000054,0.34599999999999936,-0.4017013387225735,5.566,2.575311631628297,5.276,10.13,4.05,4.05,4.1,4.44,0.7300000000000004,0.06799999999999998,-0.305193931077749,35.22,23.93923557676811,28.940000000000005,78.0,21.3,25.5,25.7,22.2,-2.1999999999999993,0.22000000000000028,-0.4979252645410821,1286.78,920.0992593193411,1080.94,2932.1,853.2,868.1,917.6,881.9,-5.2000000000000455,-3.8,-0.46068937632297924,27.019999999999996,0.0010429945411635816,4.124662,0.6615557462930873,276.0
